place_id,place_name,place_description,category,city,price,rating,description_location,place_img,gallery_photo_img1,gallery_photo_img2,gallery_photo_img3,place_map,combination
1,Taman Nasional Gunung Leuser,"Taman Nasional Gunung Leuser adalah salah satu dari enam taman nasional yang terletak di Pulau Sumatera, Indonesia. Taman nasional ini merupakan salah satu kawasan lindung yang penting bagi flora dan fauna endemik, termasuk spesies langka seperti orangutan Sumatera, harimau Sumatera, dan gajah Sumatera.","Budaya,Taman Nasional",Aceh,25.0,4.5,"Barisan mountain range, Aceh 24653",https://i.ibb.co/JW6nC0bn/Taman-Nasional-Gunung-Leuser-place-img.jpg,https://i.ibb.co/0yntqm5C/Taman-Nasional-Gunung-Leuser-gallery-photo-img1.jpg,https://i.ibb.co/nsrS5XJN/Taman-Nasional-Gunung-Leuser-gallery-photo-img2.jpg,https://i.ibb.co/dw6kB5RB/Taman-Nasional-Gunung-Leuser-gallery-photo-img3.jpg,https://www.google.com/maps/search/Taman+Nasional+Gunung+Leuser,taman nasional gunung leuser salah satu enam taman nasional terletak pulau sumatera indonesia taman nasional merupakan salah satu kawasan lindung penting bagi flora fauna endemik termasuk spesies langka seperti orangutan sumatera harimau sumatera gajah sumatera budaya taman nasional aceh
2,Desa Wisata Munduk,"Desa Wisata Munduk adalah sebuah desa di pegunungan Bali yang terkenal dengan keindahan alamnya. Desa ini dikelilingi oleh perkebunan kopi, kakao, dan rempah-rempah, serta memiliki udara segar dan pemandangan yang menakjubkan. Di Desa Wisata Munduk, pengunjung dapat menikmati keindahan alam, trekking, melihat air terjun, dan menjelajahi kehidupan desa yang tenang.",Desa Wisata,Bali,10.0,4.5,"Munduk, Banjar, Kabupaten Buleleng, Bali",https://i.ibb.co/0p0YdcHN/Desa-Wisata-Munduk-place-img.jpg,https://i.ibb.co/G6fvr5t/Desa-Wisata-Munduk-gallery-photo-img1.jpg,https://i.ibb.co/LdFdrHNY/Desa-Wisata-Munduk-gallery-photo-img2.jpg,https://i.ibb.co/MyzF7nz9/Desa-Wisata-Munduk-gallery-photo-img3.jpg,https://goo.gl/maps/LyeJ2mAeFGysTE9v9,desa wisata munduk desa pegunungan bali terkenal keindahan alamnya desa dikelilingi perkebunan kopi kakao rempah rempah memiliki udara segar pemandangan menakjubkan desa wisata munduk pengunjung menikmati keindahan alam trekking melihat air terjun menjelajahi kehidupan desa tenang desa wisata bali
3,Desa Wisata Penglipuran,"Desa Wisata Penglipuran adalah sebuah desa wisata yang terletak di Kabupaten Bangli, Bali, Indonesia. Desa ini terkenal karena keindahan arsitektur tradisional Bali dan kelestariannya yang terjaga dengan baik. Penglipuran sering dijuluki sebagai ""desa adat Bali yang terbersih"" karena kepedulian warganya terhadap kebersihan dan kerapian desa.","Budaya,Desa Wisata",Bali,25.0,4.8,"Jl. Penglipuran, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80611",https://i.ibb.co/ZRCvs1tH/Desa-Wisata-Penglipuran-place-img.jpg,https://i.ibb.co/GQQ0ggTb/Desa-Wisata-Penglipuran-gallery-photo-img1.jpg,https://i.ibb.co/Kx73KwVj/Desa-Wisata-Penglipuran-gallery-photo-img2.jpg,https://i.ibb.co/Q7YPc1Gg/Desa-Wisata-Penglipuran-gallery-photo-img3.jpg,https://www.google.com/maps/search/Desa+Wisata+Penglipuran,desa wisata penglipuran desa wisata terletak kabupaten bangli bali indonesia desa terkenal keindahan arsitektur tradisional bali kelestariannya terjaga baik penglipuran sering dijuluki desa adat bali terbersih kepedulian warganya terhadap kebersihan kerapian desa budaya desa wisata bali
4,Taman Nasional Bali Barat,"Taman Nasional Bali Barat adalah kawasan konservasi alam yang terletak di pesisir barat Pulau Bali. Taman nasional ini terkenal karena keindahan alamnya yang meliputi hutan tropis, pegunungan, dan ekosistem pesisir. Kawasan ini juga menjadi rumah bagi berbagai spesies satwa liar yang dilindungi, seperti banteng Bali, kijang, dan burung Jalak Bali.","Taman Nasional,Cagar Alam",Bali,15.0,4.5,"Sumber Klampok, Bali",https://i.ibb.co/7J9xQKVK/Taman-Nasional-Bali-Barat-place-img.jpg,https://i.ibb.co/qF26Hh2W/Taman-Nasional-Bali-Barat-gallery-photo-img1.jpg,https://i.ibb.co/KjrMxB6L/Taman-Nasional-Bali-Barat-gallery-photo-img2.jpg,https://i.ibb.co/600r72cg/Taman-Nasional-Bali-Barat-gallery-photo-img3.jpg,https://www.google.com/maps/search/Taman+Nasional+Bali+Barat,taman nasional bali barat kawasan konservasi alam terletak pesisir barat pulau bali taman nasional terkenal keindahan alamnya meliputi hutan tropis pegunungan ekosistem pesisir kawasan menjadi rumah bagi berbagai spesies satwa liar dilindungi seperti banteng bali kijang burung jalak bali taman nasional cagar alam bali
5,Bukit Jamur,"Bukit Jamur Ciwidey adalah satu dari sekian banyak pesona wisata alam yang berada di Kecamatan Ciwidey, Kabupaten Bandung, Provinsi Jawa barat. Bukit Jamur Ciwidey memang memiliki khas wisata Ciwidey, yaitu objek wisata di tengah hamparan kebun teh, dengan udara yang sangat sejuk.Suasana saat kabut turun di area perkebunan membuat suasana menjadi romatis. Bukit Jamur Ciwidey suasananya cocok juga bagi jomblowan â€“ jomblowati, banyak spot dengan latar alam yang indah, yang dimungkinkan mampu melupakan sang mantan.",Cagar Alam,Bandung,12.0,4.2,"Sugihmukti, Kec. Pasirjambu, Kabupaten Bandung, Jawa Barat 40972",https://i.ibb.co/mFTjVrz0/Bukit-Jamur-place-img.jpg,https://i.ibb.co/PsW1KcGj/Bukit-Jamur-gallery-photo-img1.jpg,https://i.ibb.co/XZjhkfJN/Bukit-Jamur-gallery-photo-img2.jpg,https://i.ibb.co/6JZYP8MH/Bukit-Jamur-gallery-photo-img3.jpg,https://www.google.com/maps/search/Bukit+Jamur,bukit jamur ciwidey satu sekian pesona wisata alam berada kecamatan ciwidey kabupaten bandung provinsi jawa barat bukit jamur ciwidey memang memiliki khas wisata ciwidey objek wisata tengah hamparan kebun teh udara sejuk suasana kabut turun area perkebunan membuat suasana menjadi romatis bukit jamur ciwidey suasananya cocok bagi jomblowan â jomblowati spot latar alam indah dimungkinkan mampu melupakan sang mantan cagar alam bandung
6,Bukit Moko,"Bandung sebagai destinasi wisata tak pernah ada habisnya. Didukung dengan lanskap yang cantik, kawasan Bandung mampu menarik perhatian wisatawan. Baik dari segi alam, budaya, kuliner, dan seni kreatif secara bersamaan. Dari sekian banyak tempat wisata yang tersedia, Bukit Moko Bandung menjadi salah satu yang cukup populer namanya dalam beberapa tahun belakangan. Berada di ketinggian sekitar 1500 mdpl, Bukit Moko memiliki cuaca yang sejuk. Bagi pengunjung yang tidak biasa di cuaca ini, ada baiknya membawa jaket tebal apalagi jika datang saat musim penghujan.",Cagar Alam,Bandung,25.0,4.5,"Cimenyan, Kabupaten Bandung, Jawa Barat 40197 Indonesia",https://i.ibb.co/4Z3NdsNR/Bukit-Moko-place-img.jpg,https://i.ibb.co/Rpnf8jGB/Bukit-Moko-gallery-photo-img1.jpg,https://i.ibb.co/BV0724QY/Bukit-Moko-gallery-photo-img2.jpg,,https://www.google.com/maps/search/Bukit+Moko,bandung destinasi wisata tak pernah habisnya didukung lanskap cantik kawasan bandung mampu menarik perhatian wisatawan baik segi alam budaya kuliner seni kreatif secara bersamaan sekian tempat wisata tersedia bukit moko bandung menjadi salah satu cukup populer namanya tahun belakangan berada ketinggian sekitar 1500 mdpl bukit moko memiliki cuaca sejuk bagi pengunjung tidak biasa cuaca baiknya membawa jaket tebal apalagi datang musim penghujan cagar alam bandung
7,Curug Bugbrug,"Curug Bugbrug Sesuai dengan namanya kata Bugbrug dalam bahasa sunda adalah berarti bertumpuk atau tumpah tindih. Jadi apabila Anda ditanya kenapa air terjun di bandung ini dinamai Curug Bugbrug Maka jawabannya ialah karena air yang jatuh dari atas ke bawah itu seperti terlihat bertumpuk-tumpuk. Dan jatuhnya tersebut terdengar suara di dasar curug seperti â€ brugâ€¦brugâ€¦brug â€ begitu saking kerasnya. Curug yang berada di ketinggian 1.050 meter di atas permukaan air laut, memiliki ketinggian dari 50 meter tingginya dan lebar curug sekitar 2 meter. Tempat ini menjadi pusat buruan wisatawan yang berlibur ke bandung.",Cagar Alam,Bandung,8.0,4.3,"Jalan Kolonel Masturi, Desa Kertawangi, Kecamatan Cisarua, Kabupaten Bandung Barat, Jawa Barat, Indonesia.",https://i.ibb.co/Z18jHnLZ/Curug-Bugbrug-place-img.jpg,https://i.ibb.co/23CL9VNp/Curug-Bugbrug-gallery-photo-img1.jpg,https://i.ibb.co/0kTDZNq/Curug-Bugbrug-gallery-photo-img2.jpg,,https://www.google.com/maps/search/Curug+Bugbrug,curug bugbrug sesuai namanya kata bugbrug bahasa sunda berarti bertumpuk tumpah tindih jadi apabila anda ditanya kenapa air terjun bandung dinamai curug bugbrug maka jawabannya ialah air jatuh atas bawah seperti terlihat bertumpuk tumpuk jatuhnya tersebut terdengar suara dasar curug seperti â brugâ brugâ brug â begitu saking kerasnya curug berada ketinggian 1 050 meter atas permukaan air laut memiliki ketinggian 50 meter tingginya lebar curug sekitar 2 meter tempat menjadi pusat buruan wisatawan berlibur bandung cagar alam bandung
8,Curug Cilengkrang,"Curug Cilengkrang bisa menjadi pilihan tujuan objek wisata alam di Bandung. Menawarkan area hutan sejuk serta area air terjun yang menyegarkan. Meski tidak besar, kawasan air terjun cukup bisa untuk menenangkan dan kembali menyegarkan wisatawan. Seolah bertolak belakang dari hingar bingar kota Bandung. Curug Cilengkrang menawarkan wisata alam yang tenang dan begitu hijau. Air terjun yang mempesona, serta hutan dengan pepohonan yang begitu asri. Dimana, tempat ini juga menjadi habitat hidup berbagai satwa liar yang masih terjaga.",Cagar Alam,Bandung,8.0,4.0,"Cilengkrang, Kabupaten Bandung, Jawa Barat 40615",https://i.ibb.co/1tdb3hZM/Curug-Cilengkrang-place-img.jpg,https://i.ibb.co/8nXjdbk4/Curug-Cilengkrang-gallery-photo-img1.jpg,https://i.ibb.co/prX6j2VY/Curug-Cilengkrang-gallery-photo-img2.jpg,,https://www.google.com/maps/search/Curug+Cilengkrang,curug cilengkrang menjadi pilihan tujuan objek wisata alam bandung menawarkan area hutan sejuk area air terjun menyegarkan meski tidak besar kawasan air terjun cukup menenangkan kembali menyegarkan wisatawan seolah bertolak belakang hingar bingar kota bandung curug cilengkrang menawarkan wisata alam tenang begitu hijau air terjun mempesona hutan pepohonan begitu asri dimana tempat menjadi habitat hidup berbagai satwa liar terjaga cagar alam bandung
9,Curug Cimahi,"Curug Cimahi adalah air terjun yang terletak di Jalan Kolonel Masturi, Desa Kertawangi, Kecamatan Cisarua, Kabupaten Bandung Barat, Jawa Barat. Dengan ketinggian sekitar 87 meter, menjadikan air terjun ini sebagai salah satu curug tertinggi di wilayah Bandung dan sekitarnya. Nama Cimahi berasal dari nama sungai yang mengalir di atasnya yaitu Sungai Cimahi yang berhulu di Situ (danau) Lembang dan mengalir ke Kota Cimahi. Destinasi wisata ini berjarak kurang lebih 10 kilometer dari Kota Cimahi ke arah Lembang atau 20 kilometer dari Kota Bandung.",Cagar Alam,Bandung,20.0,4.1,"5H78+Q6J Villa Katumiri, Jl. Cihanjuang, Padaasih, Kec. Cisarua, Kota Cimahi, Jawa Barat 40551",https://i.ibb.co/0VyTLjP1/Curug-Cimahi-place-img.jpg,https://i.ibb.co/xnWn5nX/Curug-Cimahi-gallery-photo-img1.jpg,https://i.ibb.co/LXWwGMz4/Curug-Cimahi-gallery-photo-img2.jpg,https://i.ibb.co/LDHFLnxf/Curug-Cimahi-gallery-photo-img3.jpg,https://www.google.com/maps/search/Curug+Cimahi,curug cimahi air terjun terletak jalan kolonel masturi desa kertawangi kecamatan cisarua kabupaten bandung barat jawa barat ketinggian sekitar 87 meter menjadikan air terjun salah satu curug tertinggi wilayah bandung sekitarnya nama cimahi berasal nama sungai mengalir atasnya sungai cimahi berhulu situ danau lembang mengalir kota cimahi destinasi wisata berjarak kurang 10 kilometer kota cimahi arah lembang 20 kilometer kota bandung cagar alam bandung
10,Curug Cipanas,"Siapa bilang berendam air panas harus merogoh kocek dalam? Kabupaten Bandung Barat punya solusi bagi pelancong yang ingin merasakan manfaat air panas pegunungan asli tanpa harus membayar mahal. Adalah Curug Cipanas Nagrak, objek wisata alam yang menawarkan pemandian air panas alami. Pemandian air panas ini bahkan tidak hanya sekadar kolam, melainkan berupa air terjun alami di tengah kawasan perkebunan. Mata airnya mengalir deras menjadi sebuah air terjun kecil di tengah lahan perbukitan hijau. Pengunjung akan merasakan sensasi berendam di kolam air panas yang nyaman di tengah alam terbuka.",Cagar Alam,Bandung,25.0,4.0,"Jl. Nagrak Tengah, Sukajaya, Kec. Lembang, Kabupaten Bandung Barat, Jawa Barat 40391",https://i.ibb.co/YStYtPV/Curug-Cipanas-place-img.jpg,https://i.ibb.co/JjXbwh0p/Curug-Cipanas-gallery-photo-img1.jpg,https://i.ibb.co/RTzrVR7w/Curug-Cipanas-gallery-photo-img2.jpg,,https://www.google.com/maps/search/Curug+Cipanas,siapa bilang berendam air panas merogoh kocek kabupaten bandung barat punya solusi bagi pelancong ingin merasakan manfaat air panas pegunungan asli membayar mahal curug cipanas nagrak objek wisata alam menawarkan pemandian air panas alami pemandian air panas bahkan tidak sekadar kolam melainkan berupa air terjun alami tengah kawasan perkebunan mata airnya mengalir deras menjadi air terjun kecil tengah lahan perbukitan hijau pengunjung merasakan sensasi berendam kolam air panas nyaman tengah alam terbuka cagar alam bandung
